id,algorithm,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
JZSP7JXRWJ,nsga2,100,mutation,0.377459376448449,9.302614034545352e-05,0.0926697892271662,100,9,100,0.354022746395241,0.0013849496608117,0.0927766032417194,100,0,9,26,100,4.0
J3DI2QM2JR,nsga2,100,crossover,0.3671827147948814,0.0311249961239108,0.0730509181213406,221,12,221,0.3599746650688809,0.0002736726874657,0.1103547172189917,221,1,12,32,221,4.0
I2ALZJ9D7N,nsga2,100,crossover,0.3537255360677449,0.0765372569692083,0.0567824665800612,117,10,117,0.3476645123919584,0.0616509926854754,0.0883838383838384,117,0,10,33,117,4.0
30Z6PNMY32,nsga2,100,crossover,0.3713434969623492,0.0078529566808273,0.0835428755641521,90,9,90,0.350179580652335,0.0020732779353469,0.0948191234621136,90,0,9,37,90,4.0
2IKERHZ73U,nsga2,100,crossover,0.3713434969623492,0.0078529566808273,0.0835428755641521,90,9,90,0.350179580652335,0.0020732779353469,0.0948191234621136,90,0,9,36,90,4.0
K21IP4IWID,nsga2,102,mutation,0.3320694576825241,0.1170365739293529,0.0792858726990463,129,12,129,0.3332997602320807,0.0951049303403623,0.0549418973731865,129,1,12,13,129,4.0
DHPRVEUS7A,nsga2,103,mutation,0.3271671735077835,0.0963995354239256,0.0621621621621621,41,7,41,0.335341713321579,0.0641228396819486,0.0795547385620915,41,0,17,17,41,4.0
ZD39K7Q2GJ,nsga2,103,crossover,0.3239404523201952,0.1043825009678668,0.0568236102858075,31,5,31,0.3276234055323325,0.1142706941493439,0.038647342995169,31,0,5,21,217,4.0
BKW2EJLZKI,nsga2,104,inicialization,1.0,0.0,0.0904890362817403,4,2,4,1.0,0.0,0.1244666179930234,4,1,12,31,4,2.0
R3YPZ1HCZA,nsga2,104,crossover,0.3396886340675267,0.021693934737413,0.12416804524295,70,9,70,0.3488135933065188,0.0207296849087893,0.1069475867269985,70,1,9,20,70,5.0
I63TAHZ45M,nsga2,106,crossover,0.3584505135074992,0.1354202083852785,0.0419748117589844,68,7,68,0.3202547746187757,0.1481252764675224,0.0018215550683082,68,1,7,31,143,5.0
8DEZ6G5N84,nsga2,107,crossover,0.3723835428380382,0.0025804814078429,0.068837269998695,123,11,123,0.3868346808432127,0.0001782054709079,0.1428688591814976,123,0,11,29,123,6.0
